,matchID,WIN,GOLDEARNED_x,TOTALMINIONSKILLED_x,KILLS_x,ASSISTS_x,DEATHS_x,VISIONSCORE_x,TOTALDAMAGEDEALTTOCHAMPIONS_x,GOLDEARNED_y,TOTALMINIONSKILLED_y,KILLS_y,ASSISTS_y,DEATHS_y,VISIONSCORE_y,TOTALDAMAGEDEALTTOCHAMPIONS_y
0,1001288357,1,41019,526,21,24,5,107,51758,31550,467,5,4,21,75,42125
1,1001303651,1,59825,520,39,76,22,135,95004,46640,486,22,26,39,124,85366
2,1001341779,1,58452,708,28,46,18,173,70753,51776,723,18,28,28,197,56590
3,1001406448,1,62365,516,50,58,35,181,104271,55554,569,35,49,50,147,109302
4,1001432370,1,51374,586,30,52,13,148,69060,40703,556,12,11,30,133,34896
5,1001455901,1,73151,769,42,64,45,236,144207,72007,646,45,85,42,217,127558
6,1001523427,1,88405,865,47,74,35,246,158531,74349,783,35,57,47,244,155536
7,1002263439,1,41676,595,30,20,11,72,70541,36185,653,13,13,22,60,53183
8,1002294892,1,58217,627,35,58,24,140,76971,47907,566,24,42,35,125,69252
9,1002299033,1,68046,651,35,72,32,193,99762,69771,760,32,46,35,158,79256
10,1002306302,1,63882,644,39,71,22,175,99872,51377,588,22,41,39,193,69219
11,1002341459,1,47339,473,24,39,15,141,75501,37110,411,15,22,24,134,60132
12,1002364834,1,47040,593,22,36,10,164,60162,39800,526,10,11,22,124,43840
13,1002509610,1,74159,816,33,51,28,233,117183,71795,790,28,41,33,282,113567
14,1002595199,1,59900,573,35,68,24,159,106317,48282,574,24,30,37,143,83352
15,1002646781,1,46019,512,27,40,22,115,47653,37541,381,22,33,27,95,47508
16,1002652218,1,56233,559,34,52,28,171,89095,48677,482,28,60,34,125,80164
17,1002654891,1,56410,519,38,58,22,159,85946,44686,453,22,38,38,116,69713
18,1002686340,1,50614,558,26,44,20,118,62896,42211,547,20,24,26,137,67419
19,1002710091,1,61535,750,25,43,16,195,75190,53837,740,16,24,25,170,50740
20,1002722283,1,39029,483,21,21,7,98,43904,29150,416,7,9,21,86,32275
21,1002783195,1,53089,585,20,34,15,187,63342,42044,579,15,23,20,157,55902
22,1002798034,1,54177,650,29,52,18,177,84485,47521,614,18,18,29,144,61805
