,matchID,WIN,GOLDEARNED_x,TOTALMINIONSKILLED_x,KILLS_x,ASSISTS_x,DEATHS_x,VISIONSCORE_x,TOTALDAMAGEDEALTTOCHAMPIONS_x,GOLDEARNED_y,TOTALMINIONSKILLED_y,KILLS_y,ASSISTS_y,DEATHS_y,VISIONSCORE_y,TOTALDAMAGEDEALTTOCHAMPIONS_y,GOLDEARNED_ratio,TOTALMINIONSKILLED_ratio,KILLS_ratio,ASSISTS_ratio,DEATHS_ratio,VISIONSCORE_ratio,TOTALDAMAGEDEALTTOCHAMPIONS_ratio
0,1001288357,1,41019,526,21,24,5,107,51758,31550,467,5,4,21,75,42125,1.3001267828843106,1.126338329764454,4.2,6.0,0.23809523809523808,1.4266666666666667,1.2286765578635015
1,1001303651,1,59825,520,39,76,22,135,95004,46640,486,22,26,39,124,85366,1.2826972555746141,1.0699588477366255,1.7727272727272727,2.923076923076923,0.5641025641025641,1.0887096774193548,1.112902092167842
2,1001341779,1,58452,708,28,46,18,173,70753,51776,723,18,28,28,197,56590,1.1289400494437578,0.979253112033195,1.5555555555555556,1.6428571428571428,0.6428571428571429,0.8781725888324873,1.250273899982329
3,1001406448,1,62365,516,50,58,35,181,104271,55554,569,35,49,50,147,109302,1.1226014328401195,0.9068541300527241,1.4285714285714286,1.183673469387755,0.7,1.2312925170068028,0.953971565021683
4,1001432370,1,51374,586,30,52,13,148,69060,40703,556,12,11,30,133,34896,1.2621674078077783,1.0539568345323742,2.5,4.7272727272727275,0.43333333333333335,1.112781954887218,1.9790233837689133
5,1001455901,1,73151,769,42,64,45,236,144207,72007,646,45,85,42,217,127558,1.0158873442859722,1.1904024767801857,0.9333333333333333,0.7529411764705882,1.0714285714285714,1.087557603686636,1.130521017889901
6,1001523427,1,88405,865,47,74,35,246,158531,74349,783,35,57,47,244,155536,1.189054324873233,1.1047254150702426,1.3428571428571427,1.2982456140350878,0.7446808510638298,1.0081967213114753,1.0192559921818742
7,1002263439,1,41676,595,30,20,11,72,70541,36185,653,13,13,22,60,53183,1.1517479618626503,0.9111791730474732,2.3076923076923075,1.5384615384615385,0.5,1.2,1.326382490645507
8,1002294892,1,58217,627,35,58,24,140,76971,47907,566,24,42,35,125,69252,1.2152086333938672,1.107773851590106,1.4583333333333333,1.380952380952381,0.6857142857142857,1.12,1.111462484837983
9,1002299033,1,68046,651,35,72,32,193,99762,69771,760,32,46,35,158,79256,0.9752762609106935,0.8565789473684211,1.09375,1.565217391304348,0.9142857142857143,1.2215189873417722,1.2587312001615019
10,1002306302,1,63882,644,39,71,22,175,99872,51377,588,22,41,39,193,69219,1.2433968507308717,1.0952380952380953,1.7727272727272727,1.7317073170731707,0.5641025641025641,0.9067357512953368,1.4428408384981002
11,1002341459,1,47339,473,24,39,15,141,75501,37110,411,15,22,24,134,60132,1.2756399892212342,1.1508515815085159,1.6,1.7727272727272727,0.625,1.0522388059701493,1.255587707044502
12,1002364834,1,47040,593,22,36,10,164,60162,39800,526,10,11,22,124,43840,1.1819095477386934,1.1273764258555132,2.2,3.272727272727273,0.45454545454545453,1.3225806451612903,1.372308394160584
13,1002509610,1,74159,816,33,51,28,233,117183,71795,790,28,41,33,282,113567,1.0329270840587785,1.0329113924050632,1.1785714285714286,1.2439024390243902,0.8484848484848485,0.8262411347517731,1.0318402352796148
14,1002595199,1,59900,573,35,68,24,159,106317,48282,574,24,30,37,143,83352,1.240627977300029,0.9982578397212544,1.4583333333333333,2.2666666666666666,0.6486486486486487,1.1118881118881119,1.2755182839044055
15,1002646781,1,46019,512,27,40,22,115,47653,37541,381,22,33,27,95,47508,1.2258330891558562,1.3438320209973753,1.2272727272727273,1.2121212121212122,0.8148148148148148,1.2105263157894737,1.0030521175380989
16,1002652218,1,56233,559,34,52,28,171,89095,48677,482,28,60,34,125,80164,1.1552273147482384,1.1597510373443984,1.2142857142857142,0.8666666666666667,0.8235294117647058,1.368,1.1114091113217903
17,1002654891,1,56410,519,38,58,22,159,85946,44686,453,22,38,38,116,69713,1.2623640513807457,1.1456953642384107,1.7272727272727273,1.5263157894736843,0.5789473684210527,1.3706896551724137,1.232854704287579
18,1002686340,1,50614,558,26,44,20,118,62896,42211,547,20,24,26,137,67419,1.1990713321172206,1.0201096892138939,1.3,1.8333333333333333,0.7692307692307693,0.8613138686131386,0.9329120870971092
19,1002710091,1,61535,750,25,43,16,195,75190,53837,740,16,24,25,170,50740,1.1429871649609005,1.0135135135135136,1.5625,1.7916666666666667,0.64,1.1470588235294117,1.481868348443043
20,1002722283,1,39029,483,21,21,7,98,43904,29150,416,7,9,21,86,32275,1.3389022298456261,1.1610576923076923,3.0,2.3333333333333335,0.3333333333333333,1.1395348837209303,1.360309837335399
21,1002783195,1,53089,585,20,34,15,187,63342,42044,579,15,23,20,157,55902,1.262700979925792,1.0103626943005182,1.3333333333333333,1.4782608695652173,0.75,1.1910828025477707,1.1330900504454224
22,1002798034,1,54177,650,29,52,18,177,84485,47521,614,18,18,29,144,61805,1.1400643925843312,1.0586319218241043,1.6111111111111112,2.888888888888889,0.6206896551724138,1.2291666666666667,1.3669606018930507
23,1002823409,1,15296,39,9,17,6,52,13028,10399,32,1,9,13,32,9370,1.4709106644869698,1.21875,9.0,1.8888888888888888,0.46153846153846156,1.625,1.3903948772678763
24,1022426664,1,62261,668,34,49,23,182,91458,56109,634,23,24,34,171,82609,1.1096437291700083,1.053627760252366,1.4782608695652173,2.0416666666666665,0.6764705882352942,1.064327485380117,1.107119079034972
25,1022435596,1,43499,474,27,24,14,106,49891,32357,431,14,19,27,80,39930,1.3443458911518373,1.099767981438515,1.9285714285714286,1.263157894736842,0.5185185185185185,1.325,1.2494615577260206
26,1022451010,1,63438,564,43,69,27,174,97796,50046,594,27,40,43,137,84555,1.267593813691404,0.9494949494949495,1.5925925925925926,1.725,0.627906976744186,1.27007299270073,1.1565962982673998
27,1022469351,1,52496,598,22,36,12,150,78428,40845,584,12,27,22,93,50534,1.2852491124984697,1.023972602739726,1.8333333333333333,1.3333333333333333,0.5454545454545454,1.6129032258064515,1.5519848023113152
28,1022511422,1,41225,519,19,32,8,110,46704,32715,489,8,9,19,89,35740,1.2601253247745683,1.0613496932515338,2.375,3.5555555555555554,0.42105263157894735,1.2359550561797752,1.306771124790151
29,1024409452,1,65545,603,50,74,43,195,132351,63409,598,43,55,50,173,125257,1.033686069800817,1.008361204013378,1.1627906976744187,1.3454545454545455,0.86,1.1271676300578035,1.0566355572942032
30,1024424350,1,57090,621,31,37,14,139,71637,37718,505,14,23,31,97,47548,1.513600933241423,1.2297029702970297,2.2142857142857144,1.608695652173913,0.45161290322580644,1.4329896907216495,1.5066248843274166
31,1024957864,1,78595,599,63,84,47,99,155258,73975,616,47,70,63,177,192272,1.062453531598513,0.9724025974025974,1.3404255319148937,1.2,0.746031746031746,0.559322033898305,0.8074914704169094
32,1024972842,1,24683,339,10,9,8,47,28899,18022,241,6,4,9,22,17378,1.36960381755632,1.4066390041493777,1.6666666666666667,2.25,0.8888888888888888,2.1363636363636362,1.6629646679709977
33,1025182939,1,45997,392,31,61,12,119,57081,35627,412,12,8,31,101,40778,1.2910713784489292,0.9514563106796117,2.5833333333333335,7.625,0.3870967741935484,1.1782178217821782,1.3997989111775957
34,1025437971,1,69386,797,25,52,21,220,91034,60957,753,21,35,25,210,93504,1.138277802385288,1.0584329349269588,1.1904761904761905,1.4857142857142858,0.84,1.0476190476190477,0.9735840177960301
35,1025465444,1,51470,503,28,38,15,144,60698,41706,594,15,24,28,103,58897,1.2341149954443005,0.8468013468013468,1.8666666666666667,1.5833333333333333,0.5357142857142857,1.3980582524271845,1.0305788070699695
36,1025640332,1,76264,723,37,47,41,203,126955,78205,765,41,75,37,236,173829,0.9751806150501886,0.9450980392156862,0.9024390243902439,0.6266666666666667,1.1081081081081081,0.8601694915254238,0.7303441888292518
37,1025775190,1,44607,380,34,39,16,69,60458,30697,359,16,13,34,83,43478,1.4531387431996612,1.0584958217270195,2.125,3.0,0.47058823529411764,0.8313253012048193,1.3905423432540596
38,1025821853,1,77002,574,52,73,32,156,133696,62054,674,31,55,52,160,100033,1.2408869694137363,0.8516320474777448,1.6774193548387097,1.3272727272727274,0.6153846153846154,0.975,1.3365189487469136
39,1025844634,1,63541,595,36,66,26,176,109817,51696,575,26,54,36,124,83403,1.2291279789538843,1.0347826086956522,1.3846153846153846,1.2222222222222223,0.7222222222222222,1.4193548387096775,1.316703236094625
40,1026828281,1,76620,759,42,42,29,241,108112,67116,820,29,34,42,260,117278,1.1416055784015733,0.925609756097561,1.4482758620689655,1.2352941176470589,0.6904761904761905,0.926923076923077,0.9218438240761269
